===== XTB STOCK ANALYSIS DATABASE =====
Generated on: 2025-03-02 22:59:25
FORMAT: TICKER | PRICE | SIGMA | RECOMMENDATION
----------------------------------------
TGNA.US_9 | $1818.00 | 0.39057 | SELL - Low Sigma suggests limited profit potential
BMRN.US_9 | $7101.00 | 0.54287 | HOLD - Moderate Sigma with mixed signals
FUTU.US_9 | $10866.00 | 0.56449 | HOLD - Moderate Sigma with mixed signals
SIRI.US_9 | $2418.00 | 0.55108 | HOLD - Moderate Sigma with mixed signals
HALO.US_4 | $5879.00 | 0.64750 | BUY - Good Sigma with positive technical indicators
DEA.US_4 | $1126.00 | 0.35267 | SELL - Low Sigma suggests limited profit potential
GEO.US_9 | $2736.00 | 0.34330 | SELL - Low Sigma suggests limited profit potential
SKFB.SE_9 | $23200.00 | 0.49405 | HOLD - Moderate Sigma with mixed signals
NXT.UK_4 | $9967.00 | 0.48287 | HOLD - Moderate Sigma with mixed signals
EXPD.US_4 | $11698.00 | 0.66453 | BUY - Good Sigma with positive technical indicators
WCC.US_4 | $17931.00 | 0.28327 | SELL - Low Sigma suggests limited profit potential
JMAT.UK_4 | $14250.00 | 0.48390 | HOLD - Moderate Sigma with mixed signals
ABBV.US_9 | $20864.00 | 0.72218 | BUY - Good Sigma with positive technical indicators
ANE.ES_4 | $18020.00 | 0.42635 | HOLD - Moderate Sigma with mixed signals
NWG.UK_9 | $47730.00 | 0.58306 | HOLD - Moderate Sigma with mixed signals
KGX.DE_9 | $38580.00 | 0.51796 | HOLD - Moderate Sigma with mixed signals
KUSAMA | $2091.00 | 0.52321 | HOLD - Moderate Sigma with mixed signals
IU5C.DE | $10940.00 | 0.21019 | SELL - Low Sigma suggests limited profit potential
DM.US | $225.00 | 0.35778 | SELL - Low Sigma suggests limited profit potential
RMS.FR_4 | $272500.00 | 0.41978 | HOLD - Moderate Sigma with mixed signals
APLE.US_9 | $1477.00 | 0.27537 | SELL - Low Sigma suggests limited profit potential
ARCH.US_4 | $13457.00 | 0.42112 | HOLD - Moderate Sigma with mixed signals
PZZA.US | $4514.00 | 0.71974 | BUY - Good Sigma with positive technical indicators
SYBL.DE | $441410.00 | 0.48972 | HOLD - Moderate Sigma with mixed signals
SOLB.BE_9 | $31420.00 | 0.46912 | HOLD - Moderate Sigma with mixed signals
TGT.US_9 | $12392.00 | 0.24469 | SELL - Low Sigma suggests limited profit potential
KEMIRA.FI_4 | $2122.00 | 0.47409 | HOLD - Moderate Sigma with mixed signals
SKX.US_4 | $6079.00 | 0.50428 | HOLD - Moderate Sigma with mixed signals
BK.US_4 | $8869.00 | 0.60990 | BUY - Good Sigma with positive technical indicators
STEM.US | $4297.00 | 0.32646 | SELL - Low Sigma suggests limited profit potential
HUBS.US_4 | $71937.00 | 0.45730 | HOLD - Moderate Sigma with mixed signals
U3O8.DE | $74800.00 | 0.23999 | SELL - Low Sigma suggests limited profit potential
DEC.UK_9 | $10720.00 | 0.27834 | SELL - Low Sigma suggests limited profit potential
XLF.US_5 | $5209.00 | 0.62128 | BUY - Good Sigma with positive technical indicators
G.IT_9 | $31800.00 | 0.42230 | HOLD - Moderate Sigma with mixed signals
KOF.FR_4 | $3165.00 | 0.55753 | HOLD - Moderate Sigma with mixed signals
UETW.DE | $327220.00 | 0.22232 | SELL - Low Sigma suggests limited profit potential
